pard_name,exact_match,fuzzy_match,match_score,best_match
4D Dental,False,False,84,aad dental
4dentPRO GmbH & Co.KG,True,True,100,4dentpro gmbh co kg
"4L Health Co., Ltd",False,False,76,c4 health
4S Information Systems Ltd trading as 4S DAWN Clinical Software,False,False,59,coral clinical systems a division of tulip diagnostics p ltd
4WEB EU B.V.,True,True,100,4web eu
"66 Vision Tech Co., Ltd.",True,True,100,66 vision tech co
"66 Vision Tech Co., Ltd.",True,True,100,66 vision tech co
6over6 Vision Ltd.,True,True,100,6over6 vision
77 Elektronika Kft.,False,False,69,eku elektronik
7D Surgical ULC,True,True,100,7d surgical ulc
A - Line Dental Services,False,False,76,advena services
A & A  Pretious Dental Laboratory,False,False,69,aurena laboratories ab
3D Metal Printing Ltd.,True,True,100,3d metal printing
3D Orthodontics,False,True,93,db orthodontics
Novarad Corporation,True,True,100,novarad
A & W Dental Laboratory Ltd,False,False,70,aurena laboratories ab
A C  DENTAL SERVICES,False,False,82,advena services
A Ceramics Ltd,False,False,76,dermicus ab
A D G  Dental Services,False,False,78,advena services
A G Spreadbury Dental Laboratory,False,False,61,tin lok dongguan dental laboratory co
A G Stout Optometric Services Ltd,False,False,62,a papaetis services
A J Gunning Limited,False,False,58,jeng guang co
A J Rollings Dental Studio Limited,False,False,73,hall dental studio
A M J Ceramics,False,False,71,fine art ceramics
A ONE M TRADERS LIMITED,False,False,67,lgmed trades oy
A P Cargill Chrome Design Ltd,False,False,62,hill rom s a s
A Plus Dental Laboratory,False,False,70,aurena laboratories ab
A R Cooley LTD,False,False,67,a r c laser
A S Dental Lab,False,False,83,heka dental a s
A-dec Inc,True,True,100,a dec
A-dec Inc,True,True,100,a dec
A. Menarini Diagnostics S.r.l,True,True,100,a menarini diagnostics s r l
A. Menarini Farmaceutica Internazionale SRL,False,False,73,internacional farmaceutica s a de c v
A. SCHWEIZER GmbH,True,True,100,a schweizer
A.D.P. Dental Laboratory.,False,False,69,laboratoire d'etalons d'activite
A.Dougan Dental Laboratory,False,False,76,tin lok dongguan dental laboratory co
A.E Dental laboratory,False,False,70,aurena laboratories ab
A.M.I Agency for Medical Innovations GmbH,True,True,100,a m i agency for medical innovations
A.R.C. Laser GmbH,True,True,100,a r c laser
A.S. Reece Dental Lab,False,False,74,cm dental s r l
A.T.S. Applicazione Tecnologie Speciali srl,False,False,63,stm sistemi tecnologie medicali s r l
A.Vogel B.V.,True,True,100,a vogel
A.Vogel Ltd,True,True,100,a vogel
A/S Orthana Kemisk Fabrik,True,True,100,a s orthana kemisk fabrik
A&D Company Limited,False,False,75,a dec
A & I Lask Opticians,False,False,68,bio optica milano s p a
A & J Brown Optical,False,False,73,jh optical co
Novartis Pharma AG,True,True,100,novartis pharma
Robinson Optics Limited,False,False,69,vision one optics
"A&N Dental Laboratory,A&N Valuedent ltd,The Denture Shop",False,False,60,tin lok dongguan dental laboratory co
A&S Elite dental Laboratory,False,False,67,laboratorios anaclin s l
A&S Moore Limited,False,False,70,moveo s r l
A1 Aesthetics Laboratory Ltd,False,False,81,aesthetic experts laboratory
A1 Pharmaceuticals PLC,False,True,91,jazz pharmaceuticals plc
A3P Biomedical AB (publ),False,False,73,alpha brio medical srl
AAA DENTALAB LTD,False,False,82,aad dental
"Aalto Scientific, Ltd.",False,True,88,alcor scientific
Aaron Optometrists Ltd,False,False,61,amparo prosthetics
AAT Alber Antriebstechnik GmbH,True,True,100,aat alber antriebstechnik
AB DENTAL LABORATORY,False,False,76,aurena laboratories ab
AB Germa,False,False,74,dermacut ab
"AB Medica Group, S.A. - LESSA",False,False,75,ab medica group
ab medica s.p.a.,False,True,93,media lab s p a
ab medica sas,False,True,92,ab medica spa
AB Sciex Pte. Ltd.,True,True,100,ab sciex pte
AB-CT - Advanced Breast-CT GmbH,False,False,62,abc breast care
Abanza Tecnomed S.L.,True,True,100,abanza tecnomed s l
Abatron Limited,True,True,100,abatron
"Abaxis, Inc.",True,True,100,abaxis
ABBE TRADING COMPANY LTD,False,False,77,b s trading bv
Abbexa Ltd,False,False,80,abbexa uk
ABBEY GRANGE DENTAL LABORATORY,False,False,66,tin lok dongguan dental laboratory co
Abbey Laboratory Ltd,False,False,74,abbott laboratories
Abbot Dental Laboratory,False,False,76,abbott laboratories
Abbot Opticians,False,False,69,b2b optica s l
Abbott Dental Laboratory,False,False,74,abbott laboratories
Abbott Diabetes Care Ltd,True,True,100,abbott diabetes care
A&G DENTURES LTD,False,False,67,sure dent
A&J Dental Prosthetics Ltd (Birmingham),False,False,59,bdp biodinamia dental products lda
NovaSpine SAS,False,False,78,novasan sa
Novastep SAS,False,True,85,novastep s a s
Abbott Diagnostics Technologies AS,True,True,100,abbott diagnostics technologies as
Abbott GmbH,True,True,100,abbott
Abbott Ireland,False,False,80,amo ireland
Abbott Ireland Diagnostics Division,False,False,69,abbott diagnostics medical co
Abbott Ireland Diagnostics Division,False,False,69,abbott diagnostics medical co
Abbott Laboratories,True,True,100,abbott laboratories
Abbott Laboratories,True,True,100,abbott laboratories
Abbott Laboratories,True,True,100,abbott laboratories
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Abbott Medical,True,True,100,abbott medical
Active Design Limited,False,False,75,base design
"Abbott Diagnostics Medical Co., Ltd.",True,True,100,abbott diagnostics medical co
"Abbott Diagnostics Scarborough, Inc.",True,True,100,abbott diagnostics scarborough
NOVATECH SA,True,True,100,novatech sa
novavision group s.p.a.,False,False,84,novavision group
Novax Pharma,False,True,88,innova pharma
"Danyang Rapid Aid Hot And Cold Therapy Products Co., Ltd",True,True,100,danyang rapid aid hot and cold therapy products co
DDM Health Ltd,False,False,80,bm2 health
Defence Dental Centre,False,False,65,cardex dental
Hockerill Dental Bishop Stortford,False,False,55,hall dental studio
IO DONCASTER LIMITED,False,False,62,caterna vision
MALVESTIO S.p.A.,False,False,72,miat s p a
Meadowbank Dental Practice,False,False,67,metaux precieux dental
NRT X-Ray A/S,False,False,70,rays s p a
PolyMedics Innovations GmbH,True,True,100,polymedics innovations
Radux  Devices LLC,False,False,72,thea devices
Sadler Dental Care (Paterson and Sadler Ltd),False,False,55,shanghai fanta dental materials co ltd
"Sakura Seiki Co., Ltd.",False,False,59,värska vara oü
"Seigla Medical, Inc.",True,True,100,seigla medical
SKYLA CORPORATION HSINCHU SCIENCE PARK BRANCH,True,True,100,skyla corporation hsinchu science park branch
"SunTech Medical, Inc.",False,True,86,natec medical
Technolas Perfect Vision GmbH,True,True,100,technolas perfect vision
The Nightingale Clinic,False,False,67,nightingale glove co
TidalSense Limited,True,True,100,tidalsense
yoursciencebc limited,False,False,75,urosciences
"Zhuhai Pusen Medical Technology Co., Ltd.",False,True,90,zhuhai seesheen medical technology co
"Zhuhai Zhi Li Battery Co., Ltd.",False,True,89,zhuhai zhili battery co
Active Dental Laboratory Ltd,False,False,79,laboratoire d'etalons d'activite
6D Tape Inc,True,True,100,6d tape
BYD Auto Industry Company Limited,False,False,73,dabo industry co
"Cortex Manufacturing, LLC",False,True,87,litex manufacturing
Novel,False,False,83,nouveal
NOVENTURE S.L.,False,True,88,noventure sl
Abbott Molecular Inc.,True,True,100,abbott molecular
Abbott Point of Care,True,True,100,abbott point of care
Abbott Rapid Diagnostics Jena GmbH,True,True,100,abbott rapid diagnostics jena
Abbott S.r.I,False,True,92,abbott s r l
Abbott Toxicology Ltd,True,True,100,abbott toxicology
Abbott Vascular,True,True,100,abbott vascular
AbbVie Inc,True,True,100,abbvie
Abby Louise Dental Laboratory,False,False,71,aurena laboratories ab
ABC Dental Laboratory Limited,False,False,74,aurena laboratories ab
ABC OPTICAL LTD,False,False,75,jh optical co
ABDOS Labtech Pvt. LTD.,False,True,89,abdos labtech private
Abena A/S,True,True,100,abena a s
Abena AB,True,True,100,abena ab
abergavenny dental laboratory,False,False,63,aurena laboratories ab
Abigo Medical AB,True,True,100,abigo medical ab
Abilia AB,True,True,100,abilia ab
Abingdon Health Plc,True,True,100,abingdon health plc
"Abiomed, Inc.",True,True,100,abiomed
"Abiores Technology (Beijing) Co., Ltd.",False,True,94,abiores technology beijing co ltd
"Ablative Solutions, Inc.",True,True,100,ablative solutions
Ablatus Therapeutics,False,False,82,airgas therapeutics
ABLE Human Motion S.L.,False,True,89,able human motion
"AbleNet, Inc.",True,True,100,ablenet
The Dental Workshop Ltd,False,False,68,new york dental kft
Abbott Medical Costa Rica Ltda,False,False,68,bh medical products co ltd
Abbott Medical UK Limited,False,True,90,abbott medical
Novian Health Inc,True,True,100,novian health
Novo Nordisk A/S,True,True,100,novo nordisk a s
Novo Nordisk Limited,False,True,86,novo nordisk a s
Novobrush GmBH,False,False,62,novacor
Abrasive Technology LLC,True,True,100,abrasive technology
Absorbest AB,True,True,100,absorbest ab
Abtech Safety Limited,False,False,79,technosafety bv
Abtrace Limited,False,False,67,thoragen ab
AC Aircontrols GmbH,False,False,69,contipro a s
Acandis GmbH,False,False,74,scandidos ab
"Acare Medical Science Co., Ltd.",False,False,81,sd medical care co
Acarix A/S,True,True,100,acarix a s
Accel-Heal Technologies Limited,True,True,100,accel heal technologies
"Accelerate Diagnostics, Inc.",False,False,80,cancer diagnostics
Accellerate Limited,False,False,67,pellet asc
Access Point Technologies EP Inc.,False,False,75,accel heal technologies
Access Radiotherapy Ltd,False,False,65,de ceunynck radiotherapy nv
Accora Limited,True,True,100,accora
Accrington Surgical Instrument Supplies Ltd,False,False,75,sie ag surgical instrument engineering
Accriva Diagnostics,False,True,85,cc diagnostics
Accro Clearline Ltd,False,False,67,dermaline co
Accubio Limited,True,True,100,accubio
Accurate Dental Laboratory,False,False,70,access dental lab
Accutron Inc.,False,False,71,acuson
The Dentalab,False,False,76,mt dental
Abraham Blacksmith,False,False,54,smooth bor plastics
Abraham Blacksmith Ltd,False,False,54,smooth bor plastics
Absolute Dental,False,False,77,absolute medical
Accuray Incorporated,True,True,100,accuray
Novocure GmbH,True,True,100,novocure
Novodent SA,True,True,100,novodent sa
ACE Medical Devices Pvt Ltd,True,True,100,ace medical devices pvt
Ace Orthotics Ltd,True,True,100,ace orthotics
"ACE Surgical Supply Company, Inc.",False,True,90,ace surgical supply co
ACEKARE,True,True,100,acekare
"ACell, Inc.",False,False,77,jenacell
Aceonedent Korea Ind. Co,False,True,85,aceonedent korea industrial
ACESO LABORATORIES INC.,False,True,91,acon laboratories
ACIME FRAME SAS,False,False,71,corin france sas
"ACIST Medical Systems, Inc.",True,True,100,acist medical systems
Ackermann Instrumente GmbH,True,True,100,ackermann instrumente
ACL GmbH,True,True,100,acl
"Aclarion, Inc",False,False,80,acclaro
ACME COMMERCIAL WAYS (PVT) LTD,True,True,100,acme commercial ways pvt
Acme Dental Laboratories Ltd,False,False,79,helena laboratories
ACON Biotech (Hangzhou) Co Ltd,False,False,76,hangzhou chohotech co
"Acon Laboratories, Inc.",True,True,100,acon laboratories
Acorn Dental Laboratory.,False,False,73,laboratorios conda
Acorn Mobility Services Limited,False,False,68,amico mobility solutions
Acorn Polymers (UK) Ltd,False,False,67,ylla japan polymers
"Acotec Scientific Co., Ltd.",True,True,100,acotec scientific co
"ACRA-CUT, Inc.",True,True,100,acra cut
"Acro Biotech, Inc.",False,False,80,astra biotech
"ACROSS Co., Ltd.",True,True,100,across co
The Denture Centre,False,False,65,the electrode store
Ace Dental Laboratory,False,False,74,access dental lab
"Ace Medical Co., Ltd.",True,True,100,ace medical co
Novomed Group,True,True,100,novomed group
Novotec Medical GmbH,False,True,86,natec medical
Posture Care Ltd,False,False,73,lp care oe
ActiGraph LLC,True,True,100,actigraph
"Action Products, Inc.",True,True,100,action products
Actis Medical Pty Ltd,True,True,100,actis medical pty
"Activ Surgical, Inc.",True,True,100,activ surgical
Bering Limited,True,True,100,bering
Berlin Heart GmbH,False,False,83,berlin heals
Bernafon,False,False,67,benta lyon
Bernhard Foerster,False,False,67,bernard cervos societe
Berries United Oy,True,True,100,berries united oy
Bertec Corporation,True,True,100,bertec
Berwick Upon Tweed VE Limited,False,False,60,thermed volker gericke
BES Healthcare Ltd,False,True,97,best healthcare
BESA GmbH,True,True,100,besa
Besmed Health Business Corp.,True,True,100,besmed health business
Bespoke Dental Ceramics Limited,False,False,63,j b implant and dental ceramics
Bespoke Dental Laboratory,False,False,67,laboratorios cosmodent s l
Bespoke denture clinic,False,False,58,pentron clinical
Bespoke Frameworks by Christopher Hesketh Ltd,False,False,48,christophorus cbc
BESPOKE PROSTHETICS & ORTHOTICS LTD,False,True,88,boston orthotics prosthetics
bess pro gmbh,False,False,71,easy prod
best medical GmbH,True,True,100,best medical
"Best Medical International, Inc.",True,True,100,best medical international
Best Theratronics,False,False,67,best vision international
C B Dental Laboratory Services,False,False,69,aurena laboratories ab
Actegy Ltd,True,True,100,actegy
Actesso Medical Supports Ltd,True,True,100,actesso medical supports
Novoxel Ltd,True,True,100,novoxel
ACTO GmbH,False,False,75,arco
"ACUDERM, Inc.",False,False,71,amaderm
"AcuFocus, Inc.",True,True,100,acufocus
Acuitis Optical and Hearing Exeter LTD,False,False,62,ear technic hearing aids
Acuitis Optical and Hearing York Ltd,False,False,61,ear technic hearing aids
ACUITY CONTACT LENSES,False,False,65,hanita lenses
Acumed LLC,True,True,100,acumed
ACUMEDIC LTD,False,True,88,raumedic
Acurable Limited,True,True,100,acurable
"Acute Ideas Co., Ltd.",True,True,100,acute ideas co
Acutronic Medical Systems AG,False,False,84,mes medical electronic systems
Acutus Medical Inc.,True,True,100,acutus medical
Acutus Medical UK Limited,False,True,90,acutus medical
AD Laboratories,False,True,88,acon laboratories
Ad-Tech Medical Instrument Corporation,False,False,82,eca medical instruments
Ada Health GmbH,True,True,100,ada health
"Adagio Medical, Inc.",False,True,86,cardio medical
Adam Davies,False,False,67,adam’s aid
Adam Lafosse,False,False,64,adam’s aid
Adam Norris Dental Laboratory Ltd,False,False,67,aurena laboratories ab
Adamo S.r.l,True,True,100,adamo s r l
Adams Opticians Ltd,False,False,67,audoptica
Adaptiiv Medical Technologies Inc.,True,True,100,adaptiiv medical technologies
Adaptive Biotechnologies Corporation,True,True,100,adaptive biotechnologies
ADAS3D MEDICAL SL,False,True,91,adas3d medical s l
Coastal Dental Laboratory,False,False,71,laboratorios cosmodent s l
Activinsights Ltd,True,True,100,activinsights
ACTO,False,False,75,arco
Novuqare Pelvic Health B.V.,False,False,67,selvas healthcare
Novus Scientific,False,True,91,novus scientific ab
Adelphi Orthodontics Limited,False,False,80,db orthodontics
Adentatec GmbH,True,True,100,adentatec
adeor medical AG,False,True,88,ardo medical
Adept Dental Laboratory Ltd,False,False,68,laboratoire aguettant
Adept Medical Limited,True,True,100,adept medical
Adherium (NZ) Ltd.,False,False,60,andrius oü
Adhex Technologies SAS,False,False,80,dynex technologies
Adhezion Biomedical LLC,False,False,75,arden medical
Adin Dental Implant Systems Ltd,True,True,100,adin dental implant systems
Aditya Dispomed Products Private Limited,False,False,67,dobersun products private
Adkins Opticians Ltd,False,False,67,infocus optics
ADLER ORTHO SPA,False,False,81,adler ortho s p a
"ADLINK Technology GmbH,",False,True,87,adlink technology
Admetec Solutions Ltd,True,True,100,admetec solutions
Adora Digital Health Ltd,False,False,80,carealytix digital health
Adria srl,False,False,84,artsia srl
Adroit Surgical LLC,False,False,81,d a surgical
ADS Eye Clinic (Stockton),False,False,59,the dry eye clinic
ADSM a Tyber Medical Company,False,False,70,roma medical aids
Adtec Healthcare Limited,True,True,100,adtec healthcare
Advan S.r.l.,True,True,100,advan s r l
Advance Dental Clinic,False,False,74,dental advance sl
"Advance Dx, Inc.",False,False,82,advance
"Advance Medical Designs, Inc.",False,True,90,advanced medical design co
AdEchoTech,False,False,74,anteotech
Adelphi (Tubes) Ltd,True,True,100,adelphi tubes
NovyMed Export BV,False,False,63,novymed international bv
Nox Medical,True,True,100,nox medical
"NOxBOX, Ltd.",True,True,100,noxbox
"NSBS Co., Ltd.",True,True,100,nsbs co
NSDBG,False,False,55,nisgav
NSK Dental Italy S.r.l.,True,True,100,nsk dental italy s r l
Advanced Chrome Design LLP,False,False,77,advanced medical design co
Advanced Cosmetic Dental Studios,False,False,72,advanced medical solutions
Advanced Dental Services Ltd,False,False,78,dental advance sl
Advanced Dental Whitening Supplies Limited,False,False,67,dental advance sl
Advanced denture solutions,False,False,79,paltop advanced dental solutions
Advanced dentures,False,False,76,dental advance sl
advanced fiber tools GmbH,False,False,67,advanced bionics
Advanced Health and Care,False,False,70,advanced healthcare
Advanced Healthcare Ltd,True,True,100,advanced healthcare
ADVANCED HEALTHCARE TECHNOLOGY LIMITED,True,True,100,advanced healthcare technology
Advanced Imaging Devices GmbH,True,True,100,advanced imaging devices
Advanced Implant Laboratories LTD,False,False,77,advanced biological laboratories abl
Advanced Instruments LLC,True,True,100,advanced instruments
"Advanced Medical Design Co., Ltd.",True,True,100,advanced medical design co
Advanced Medical Solutions Israel (Sealantis) Ltd.,True,True,100,advanced medical solutions israel sealantis
Advanced Medical Solutions Limited,True,True,100,advanced medical solutions
Advanced Medical Solutions Ltd,True,True,100,advanced medical solutions
ADVANCED MEDTECH SOLUTIONS PRIVATE LIMITED,False,False,80,advanced medical solutions
Advanced Bionics LLC,True,True,100,advanced bionics
Advanced Brain Monitoring Inc,True,True,100,advanced brain monitoring
"Advanced Cell Diagnostics, Inc",False,False,74,cancer diagnostics
Advanced Dental Laboratories,False,False,75,advanced biological laboratories abl
Advanced Dental Prosthetics,False,False,75,paltop advanced dental solutions
Advanced Expert Systems Limited,False,False,76,advanced ophthalmic systems
NSK Europe GmbH,True,True,100,nsk europe
NSS Properties Ltd T/A Saltaire Orthodontics,False,False,57,xiantao xinri protective products co ltd
NTA Implant Ticaret ve Sanayi Limited Şirketi,False,False,80,nta implant ticaret ve sanayi ltd sti
NTC S.r.l.,False,False,78,nsi s r l
NTC Srl,True,True,100,ntc srl
"Advantech Co., Ltd.",True,True,100,advantech co
Aenduo SrL,False,False,74,akern srl
AEON DIAGNOSTIC Technology Corporation,False,False,77,abbott diagnostics technologies as
AERAZEN LAB S.r.l.,False,False,81,aerazen lab srl
AERAZEN LAB SRL,True,True,100,aerazen lab srl
Aero Healthcare Ltd,False,True,90,ardoz healthcare
Aerogen Ltd.,True,True,100,aerogen
Aerolase Corporation,False,False,75,aerolite
Aeropharm GmbH,False,False,84,europharma
Aerotel Medical Systems (1998) Ltd,True,True,100,aerotel medical systems 1998
Aesculap AG,True,True,100,aesculap
AESKU.Diagnostics GmbH & Co. KG,True,True,100,aesku diagnostics gmbh co kg
Aesrhea Laboratories Limited,False,False,82,helena laboratories
Aesthetic Dental Ceramics,False,False,67,carestream dental
Aesthetic Dental Laboratory Ltd,False,False,84,aesthetic experts laboratory
Aesthetic Digital Dental Lab Ltd,False,False,64,final dental lab
Aesthetic Technology Ltd,True,True,100,aesthetic technology
Aesthetic World Laboratory Ltd,False,False,74,aesthetic experts laboratory
Advanced Prosthetics Ltd,False,False,81,naked prosthetics
Advantage Medical Electronics (dba AMC),False,True,88,advantage medical electronics
"Advantice Health, LLC",True,True,100,advantice health
Aegis Lifesciences Private Limited,False,False,71,caris life sciences
Aesthetic Group,True,True,100,aesthetic group
NTH Solutions LLP,False,False,80,ent solutions
NTOC Medische Techniek BV,False,True,94,ntoc medische techniek
"Affimedix, Inc.",False,False,71,iffmedic
Affiniti AI Limited,False,False,64,manti manti
Affymetrix Inc.,False,False,74,orametrix
Afikim Electric Vehicles,True,True,100,afikim electric vehicles
AG Dental Prosthetics,False,False,74,forstec dental ab
AG Industries LLC,True,True,100,ag industries
AGA Medical Corporation,False,True,91,aug medical
AGA Sanitätsartikel GmbH,False,False,62,sanicare ab
Again Life Italia S.r.l.,False,False,78,a m i italia s r l
"AgaMatrix, Inc.",True,True,100,agamatrix
Agena Bioscience,False,False,84,alba bioscience
Agendia N.V.,True,True,100,agendia
Agfa HealthCare NV,True,True,100,agfa healthcare nv
Agfa NV,True,True,100,agfa nv
Agile Kinetic Limited,False,False,70,anetic aid
"Agilent Biosciences (Hangzhou) Co., Ltd.",False,False,76,hangzhou dalton biosciences
"Agilent Biosciences (Hangzhou) Co., Ltd.",False,False,76,hangzhou dalton biosciences
Agilent Technologies Singapore (International) Pte. Ltd,True,True,100,agilent technologies singapore international pte
"Agilent Technologies, Inc.",False,True,90,gilbert technologies
"Agnes Medical Co., Ltd.",True,True,100,agnes medical co
AgNovos Healthcare,False,True,90,agnovos healthcare usa
Ahlstrom-Munksjö Specialties,True,True,100,ahlstrom munksjö specialties
Afdent Ltd,False,False,83,addent
"Affera, Inc.",False,False,73,feral
Nu-Line Technology Solutions Ltd trading as NuLines,False,False,63,zhejiang jiecang linear motion technology co ltd
NUA Medical Limited,False,True,88,nurami medical
Nuada S.A.,False,False,67,wada
AI4MedImaging Medical Solutions S.A.,False,True,86,eemagine medical imaging solutions
AiBiomed Corp,False,True,93,abiomed
Aidapt Bathrooms Limited,False,False,60,adaptive biotechnologies
Aide Health,False,True,87,alife health
Aidence B.V.,True,True,100,aidence
Aidian Oy,True,True,100,aidian oy
Aidite (Qinhuangdao) Technology Co Ltd,False,True,89,aidite（qinhuangdao）technology co ltd
Aidoc Medical Ltd.,True,True,100,aidoc medical
Aidplex S.P.P.C,False,False,67,alvo s m p c
AIforce Limited,False,False,67,adin france
Aiforia Technologies Plc,False,False,80,airstrip technologies
"Aike (Shanghai) Medical Instrument Co., Ltd",False,True,90,shanghai bojin medical instrument co
Aion Dental Designs Ltd,False,False,69,argon dental srl
AIR LIQUIDE MEDICAL SYSTEMS S.A.,True,True,100,air liquide medical systems
AIR LIQUIDE MEDICAL SYSTEMS S.A.,True,True,100,air liquide medical systems
Air Liquide Medical Systems S.r.l.,True,True,100,air liquide medical systems s r l
Air Liquide Medical Systems S.r.l.,True,True,100,air liquide medical systems s r l
Air Note GmbH,True,True,100,air note
"Air Techniques, Inc.",False,False,72,ear technic
AIR WATER REALIZE INC.,True,True,100,air water realize
Airedale Ceramics Dental Laboratory,False,False,67,j b implant and dental ceramics
AIREL,False,False,80,caire
ARDEN  DENTAL LABORATORY.,False,False,67,aurena laboratories ab
AI Rehab Ltd,False,False,82,alu rehab
AI Sight,False,False,80,r sight
Nucleix Ltd,False,False,62,neolix
Nucletron B.V.,True,True,100,nucletron
Nudge Reality Limited,False,False,58,endo health
Nufer Medical AG,False,True,87,nf medical
Nuffield Health HSSU Wetherby (Head Office),False,False,48,smedical health beauty sl
Nuffield Health Parkside Hospital SSD,False,False,55,effebi hospital s r l
NUH Medical Engineering,False,True,89,rb medical engineering
Nulatex Sdn. Bhd.,True,True,100,nulatex sdn bhd
Nuline Limited,True,True,100,nuline
"NuMED Canada, Inc.",False,False,67,china purmed
AJL Ophthalmic SA,False,True,90,ajl ophthalmic
AK Optical Limited,False,False,78,class optical
Akeda Laser ApS,False,False,62,spes medica s p a
"Akervall Technologies, Inc.",False,False,81,panakeia technologies
Akira Dental Lab,False,False,74,aura dental
Akira Dental Laboratory,False,False,70,laboratorio aragó s l
AKJ Dentures Ltd,False,False,67,sure dent
AKLA AB,True,True,100,akla ab
AKO MED d.o.o.,False,False,75,ako med doo
Akra Dermo Jet,False,False,67,arkray europe
AKRUS GmbH & Co. KG,True,True,100,akrus gmbh co kg
AKSIM SURGICAL,False,True,86,alesi surgical
Aksmilelab Ltd,False,False,71,sumilab
Aktiia SA,True,True,100,aktiia sa
Aktina Medical Corporation,True,True,100,aktina medical
AKTIVE S.R.L.,False,False,81,datariver s r l
Primal Living Ltd,False,False,72,reliving srl
Airmax BV,True,True,100,airmax bv
Airon Corporation,True,True,100,airon
"NuMED, Inc.",True,True,100,numed
"Nunc A/S, a part of Thermo Fisher Scientific",False,False,74,thermo fisher scientific oy
Nuneaton VE Ltd,False,False,63,puretone
Alba Bioscience Limited,True,True,100,alba bioscience
Alber GmbH,False,False,73,walser
Albert Browne Ltd,True,True,100,albert browne
Albert Waeschle Ltd,False,False,67,albert kerbl
"Albino Dias de Andrade, Ltd",True,True,100,albino dias de andrade
Albion Dental Laboratory,False,False,70,laboratoire bongert
Albomed GMBH,True,True,100,albomed
Alchimia S.R.L,False,False,83,alma s r l
Alcis,True,True,100,alcis
"Alcon Laboratories, Inc.",False,True,97,acon laboratories
"Alcyone Therapeutics, Inc.",False,False,82,acorda therapeutics
"Alere San Diego, Inc.",True,True,100,alere san diego
Alerta Medical,True,True,100,alerta medical
Alesi Surgical Ltd,True,True,100,alesi surgical
Alessandro Ferrero Ltd,False,False,56,sérgio alves de barros
Alex Flynn Denture Clinic,False,False,59,pentron clinical
Alexander Opticians Limited,False,False,70,alexander line srl
ALFA INSTRUMENTS S.R.L.,True,True,100,alfa instruments s r l
Alfa Intes s.r.l.,False,False,84,alfa instruments s r l
Alfrecell Limited,False,False,82,lifecell
Alfred Becht GmbH,False,False,63,aretech
Alfred Franks & Bartlett Plc,True,True,100,alfred franks bartlett plc
Algamed Theraprutics LTD,False,False,77,airgas therapeutics
