pard_name,match_found
"ACE Surgical Supply Company, Inc.",False
ACEKARE,True
"ACell, Inc.",False
Aceonedent Korea Ind. Co,False
ACESO LABORATORIES INC.,False
ACIME FRAME SAS,False
"ACIST Medical Systems, Inc.",True
Ackermann Instrumente GmbH,True
ACL GmbH,True
"Aclarion, Inc",False
ACME COMMERCIAL WAYS (PVT) LTD,True
Acme Dental Laboratories Ltd,False
ACON Biotech (Hangzhou) Co Ltd,False
"Acon Laboratories, Inc.",True
Acorn Dental Laboratory.,False
Acorn Mobility Services Limited,False
Acorn Polymers (UK) Ltd,False
"Acotec Scientific Co., Ltd.",True
"ACRA-CUT, Inc.",False
"Acro Biotech, Inc.",False
"ACROSS Co., Ltd.",True
The Denture Centre,False
Ace Dental Laboratory,False
"Ace Medical Co., Ltd.",True
Novomed Group,True
Novotec Medical GmbH,True
Posture Care Ltd,False
ActiGraph LLC,True
"Action Products, Inc.",True
Actis Medical Pty Ltd,True
"Activ Surgical, Inc.",True
Bering Limited,False
Berlin Heart GmbH,True
Bernafon,False
Bernhard Foerster,False
Berries United Oy,False
Bertec Corporation,True
Berwick Upon Tweed VE Limited,False
BES Healthcare Ltd,False
BESA GmbH,False
Besmed Health Business Corp.,True
Bespoke Dental Ceramics Limited,False
Bespoke Dental Laboratory,False
Bespoke denture clinic,False
Bespoke Frameworks by Christopher Hesketh Ltd,False
BESPOKE PROSTHETICS & ORTHOTICS LTD,False
bess pro gmbh,False
best medical GmbH,False
"Best Medical International, Inc.",False
Best Theratronics,False
C B Dental Laboratory Services,False
Actegy Ltd,True
Actesso Medical Supports Ltd,False
Novoxel Ltd,True
ACTO GmbH,True
"ACUDERM, Inc.",False
"AcuFocus, Inc.",True
Acuitis Optical and Hearing Exeter LTD,False
Acuitis Optical and Hearing York Ltd,False
ACUITY CONTACT LENSES,False
Acumed LLC,True
ACUMEDIC LTD,False
Acurable Limited,False
"Acute Ideas Co., Ltd.",True
Acutronic Medical Systems AG,False
Acutus Medical Inc.,False
Acutus Medical UK Limited,False
AD Laboratories,False
Ad-Tech Medical Instrument Corporation,False
Ada Health GmbH,True
"Adagio Medical, Inc.",True
Adam Davies,False
Adam Lafosse,False
Adam Norris Dental Laboratory Ltd,False
Adamo S.r.l,False
Adams Opticians Ltd,False
Adaptiiv Medical Technologies Inc.,True
Adaptive Biotechnologies Corporation,True
ADAS3D MEDICAL SL,False
Coastal Dental Laboratory,False
Activinsights Ltd,False
ACTO,True
Novuqare Pelvic Health B.V.,False
Novus Scientific,False
Adelphi Orthodontics Limited,False
Adentatec GmbH,False
adeor medical AG,False
Adept Dental Laboratory Ltd,False
Adept Medical Limited,True
Adherium (NZ) Ltd.,True
Adhex Technologies SAS,True
Adhezion Biomedical LLC,False
Adin Dental Implant Systems Ltd,True
Aditya Dispomed Products Private Limited,False
Adkins Opticians Ltd,False
ADLER ORTHO SPA,True
"ADLINK Technology GmbH,",False
Admetec Solutions Ltd,True
Adora Digital Health Ltd,False
Adria srl,False
Adroit Surgical LLC,False
ADS Eye Clinic (Stockton),False
ADSM a Tyber Medical Company,False
Adtec Healthcare Limited,False
Advan S.r.l.,False
Advance Dental Clinic,False
"Advance Dx, Inc.",False
"Advance Medical Designs, Inc.",True
AdEchoTech,False
Adelphi (Tubes) Ltd,False
NovyMed Export BV,False
Nox Medical,True
"NOxBOX, Ltd.",False
"NSBS Co., Ltd.",True
NSDBG,False
NSK Dental Italy S.r.l.,False
Advanced Chrome Design LLP,False
Advanced Cosmetic Dental Studios,False
Advanced Dental Services Ltd,False
Advanced Dental Whitening Supplies Limited,False
Advanced denture solutions,False
Advanced dentures,False
advanced fiber tools GmbH,True
Advanced Health and Care,False
Advanced Healthcare Ltd,False
ADVANCED HEALTHCARE TECHNOLOGY LIMITED,True
Advanced Imaging Devices GmbH,True
Advanced Implant Laboratories LTD,False
Advanced Instruments LLC,False
"Advanced Medical Design Co., Ltd.",True
Advanced Medical Solutions Israel (Sealantis) Ltd.,True
Advanced Medical Solutions Limited,False
Advanced Medical Solutions Ltd,False
ADVANCED MEDTECH SOLUTIONS PRIVATE LIMITED,False
Advanced Bionics LLC,True
Advanced Brain Monitoring Inc,False
"Advanced Cell Diagnostics, Inc",False
Advanced Dental Laboratories,False
Advanced Dental Prosthetics,False
Advanced Expert Systems Limited,False
NSK Europe GmbH,True
NSS Properties Ltd T/A Saltaire Orthodontics,False
NTA Implant Ticaret ve Sanayi Limited Şirketi,False
NTC S.r.l.,False
NTC Srl,True
"Advantech Co., Ltd.",False
Aenduo SrL,False
AEON DIAGNOSTIC Technology Corporation,False
AERAZEN LAB S.r.l.,False
AERAZEN LAB SRL,True
Aero Healthcare Ltd,False
Aerogen Ltd.,True
Aerolase Corporation,False
Aeropharm GmbH,True
Aerotel Medical Systems (1998) Ltd,True
Aesculap AG,True
AESKU.Diagnostics GmbH & Co. KG,True
Aesrhea Laboratories Limited,True
Aesthetic Dental Ceramics,False
Aesthetic Dental Laboratory Ltd,False
Aesthetic Digital Dental Lab Ltd,False
Aesthetic Technology Ltd,False
Aesthetic World Laboratory Ltd,False
Advanced Prosthetics Ltd,False
Advantage Medical Electronics (dba AMC),False
"Advantice Health, LLC",False
Aegis Lifesciences Private Limited,False
Aesthetic Group,True
NTH Solutions LLP,False
NTOC Medische Techniek BV,False
"Affimedix, Inc.",False
Affiniti AI Limited,False
Affymetrix Inc.,False
Afikim Electric Vehicles,True
AG Dental Prosthetics,False
AG Industries LLC,True
AGA Medical Corporation,False
AGA Sanitätsartikel GmbH,True
Again Life Italia S.r.l.,True
"AgaMatrix, Inc.",True
Agena Bioscience,False
Agendia N.V.,False
Agfa HealthCare NV,True
Agfa NV,True
Agile Kinetic Limited,False
"Agilent Biosciences (Hangzhou) Co., Ltd.",False
"Agilent Biosciences (Hangzhou) Co., Ltd.",False
Agilent Technologies Singapore (International) Pte. Ltd,False
"Agilent Technologies, Inc.",False
"Agnes Medical Co., Ltd.",True
AgNovos Healthcare,False
Ahlstrom-Munksjö Specialties,True
Afdent Ltd,False
"Affera, Inc.",False
Nu-Line Technology Solutions Ltd trading as NuLines,False
NUA Medical Limited,True
Nuada S.A.,False
AI4MedImaging Medical Solutions S.A.,False
AiBiomed Corp,False
Aidapt Bathrooms Limited,False
Aide Health,False
Aidence B.V.,True
Aidian Oy,True
Aidite (Qinhuangdao) Technology Co Ltd,False
Aidoc Medical Ltd.,True
Aidplex S.P.P.C,False
AIforce Limited,False
Aiforia Technologies Plc,True
"Aike (Shanghai) Medical Instrument Co., Ltd",True
Aion Dental Designs Ltd,False
AIR LIQUIDE MEDICAL SYSTEMS S.A.,True
AIR LIQUIDE MEDICAL SYSTEMS S.A.,True
Air Liquide Medical Systems S.r.l.,True
Air Liquide Medical Systems S.r.l.,True
Air Note GmbH,True
"Air Techniques, Inc.",False
AIR WATER REALIZE INC.,False
Airedale Ceramics Dental Laboratory,False
AIREL,True
ARDEN  DENTAL LABORATORY.,False
AI Rehab Ltd,False
AI Sight,False
Nucleix Ltd,False
Nucletron B.V.,True
Nudge Reality Limited,False
Nufer Medical AG,False
Nuffield Health HSSU Wetherby (Head Office),False
Nuffield Health Parkside Hospital SSD,False
NUH Medical Engineering,False
Nulatex Sdn. Bhd.,False
Nuline Limited,True
"NuMED Canada, Inc.",False
AJL Ophthalmic SA,False
AK Optical Limited,False
Akeda Laser ApS,False
"Akervall Technologies, Inc.",False
Akira Dental Lab,False
Akira Dental Laboratory,False
AKJ Dentures Ltd,False
AKLA AB,True
AKO MED d.o.o.,False
Akra Dermo Jet,False
AKRUS GmbH & Co. KG,False
AKSIM SURGICAL,False
Aksmilelab Ltd,False
Aktiia SA,True
Aktina Medical Corporation,True
AKTIVE S.R.L.,False
Primal Living Ltd,False
Airmax BV,False
Airon Corporation,True
"NuMED, Inc.",True
"Nunc A/S, a part of Thermo Fisher Scientific",False
Nuneaton VE Ltd,False
Alba Bioscience Limited,False
Alber GmbH,True
Albert Browne Ltd,False
Albert Waeschle Ltd,False
"Albino Dias de Andrade, Ltd",False
Albion Dental Laboratory,False
Albomed GMBH,True
Alchimia S.R.L,False
Alcis,True
"Alcon Laboratories, Inc.",True
"Alcyone Therapeutics, Inc.",False
"Alere San Diego, Inc.",True
Alerta Medical,False
Alesi Surgical Ltd,False
Alessandro Ferrero Ltd,False
Alex Flynn Denture Clinic,False
Alexander Opticians Limited,False
ALFA INSTRUMENTS S.R.L.,True
Alfa Intes s.r.l.,False
Alfrecell Limited,False
Alfred Becht GmbH,True
Alfred Franks & Bartlett Plc,False
Algamed Theraprutics LTD,False
Arden Dentec Laboratory,False
Al bright dental ltd,False
Alaxo GmbH,True
Albrecht GmbH,True
"Nuova S.B, Systems S.r.l.",False
Nûr Dental Laboratory Ltd,False
NUREL MEDİKAL SAN VE TİC A.Ş,False
NuSight Medical,False
NuSmile,False
"NuStep, LLC",False
Nutricia Medical DevicesB.V,False
NuuChem Diagnostics Limited,True
Allengers Medical System Ltd,False
Allergan Industrie SAS,False
Allergan Sales LLC,False
Alleva Medical Limited,True
ALLEVA MEDICAL LIMITED,True
ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA,False
Alliance Pharma S.r.l.,False
Alliance Pharmaceutical Ltd,False
Allied International Trading Ltd t/a Supertouch,False
"Alliedstar Medical Equipment Co., Ltd.",True
Algotec Research and Development Limited,False
Alifax S.r.l,False
Align Solutions Ltd,False
Align Technology Ltd.,True
All Ceramic Solutions Ltd,False
"All Medicus Co., Ltd.",True
Allard Support UK Ltd,True
ALLE S.R.L.,True
Allen Surgical Co. Pvt Ltd,False
NuVasive Inc.,True
NuVasive Specialized Orthopedics Inc.,False
Allurion,False
Allwin Medical Devices Inc,False
Alma Labs Ltd.,False
Alma Lasers GmbH,True
Alma Medical Products Ltd,True
Almac Diagnostic Services Ltd,False
Almirall Limited,False
"Almuzain International Reliable Partner Co.,LTD",False
ALN S.A.R.L.,False
Alnapharm AG & Co. KG,True
ALNITEC SRL,True
ALP Ecology S.R.O,False
Alpha Biolaboratories Analytical LTD,False
Alpha Dental Ceramics,False
Alpha Denture Clinic Limited,False
Alpha Laboratories Ltd,False
Alpha Omega Engineering Ltd.,True
alpha orthodontic laboratory,False
Alpha-Bio Tec Ltd.,False
Alphadia S.A./N.V.,False
ALPHASONICS UCS LTD,False
Alpine Dental,False
Alpine HC Ltd ta Opera,False
Alpinion Medical Systems Co. Ltd.,False
Allmed Middle East,True
Alltrista Plastics LLC,False
NUVE Sanayi Malzemeleri Imalat ve Ticaret A.S.,False
NUVIEW LTD,False
Nuvik Global Ltd,False
NuvoAir AB,False
"Nuwellis, Inc.",False
NV Creations,False
NVT GmbH,True
NxBiotech Sp. z o.o.,False
"NxStage Medical Inc.,",False
nyra health GmbH,False
NYSALE Inc,False
Nyxoah SA,True
O-Two Medical Technologies Inc.,True
O.C.L (Sheffield) Ltd,False
O&M Halyard Inc.,False
O2 Concepts,True
O2matic ApS,True
Oak Dental Laboratories Ltd,False
Oak Dental Laboratory,False
Oak Dental Studio,False
Oak Medical Services Ltd,False
Oak View Restorations Ltd,False
ALPS South LLC,False
ALS Dental Direct Limited,False
ALTATEC GmbH,True
Altaylar Medikal Tibbi Malzemeleri Inşaat Tekstil Gida Ithalat Ihracat Sanayi ve Ticaret Ltd. Şti.,False
"Altimate Medical, Inc",True
Alvaston Opticians,False
Axon International Ltd,False
OAKLEY Inc.,False
Oakmed Limited,False
Oakwood Eyecare Centre,False
Oakwood Remedies - a trading name of Linkplace Limited,False
Oakworks Inc,False
OASIS DIAGNOSTICS S.A,False
"OASIS Medical, Inc.",True
OASYS Healthcare Corporation,False
OBERON GmbH Fiber Technologies,False
Obex Dental,False
Objective Imaging Ltd,False
OBL s.a.s.,False
OBP Medical Corporation DBA OBP Medical,False
OBS Medical Ltd,False
Observe Medical AB,False
Observe Medical AB,False
Occlusion Denture Laboratory,False
Occlutech GmbH,True
Occlutech International AB,True
Occlutech Tibbi Urunler San.ve Tic.Ltd.Sti,False
Occuity Limited,False
Ochillview Dental Implant Laboratory Ltd,False
OCTO BIYOTEKNOLOJI ARGE SANAYI VE TICARET A.S.,False
OCTOPUS DENTAL LABORATORY,False
"American Medical Systems, LLC",False
"American Prosthetic Components, LLC",False
"Ocular Instruments, Inc",False
Oculera health technologies,False
"Oculo-Plastik, Inc",True
Oculocare medical Ltd,False
"Ampcare, LLC",False
Amplex Diagnostics GMBH,False
Amplifon SpA,False
Amplivox Ltd,True
AMPri Handelgesellschafts mbH,False
AMRA Medical AB,True
Amryt Pharmaceuticals DAC,True
Amsino International Inc.,True
AMTRION GmbH,True
Ana Wiz Ltd,False
Anaesthetic Medical Systems Ltd,True
Analog Implant Laboratory Ltd,False
Analyticon Biotechnologies GmbH,False
Anathem LTD,False
"Anatomage, Inc.",False
Anatomic Sitt AB,False
Anatomical Concepts Inc.,True
"Anatomical Geometry, S.L.",True
Anatomics Pty Ltd.,True
Anatomy Supply Partners LLC,False
Andersen Caledonia Ltd,False
Andersen Sterilizers,False
Anderside Tools Ltd,False
AMOR GUMMIWAREN GMBH,True
"Amoy Diagnostics Co., Ltd.",True
Oculox Technologies SA,True
Primary Care IT Ltd,False
Andramed GmbH,False
Andratec GmbH,True
Andrea Tropea Dental Laboratory Ltd,False
Andreas Fahl Medizintechnik-Vertrieb GmbH,False
Andreas Hettich GmbH & Co. KG,True
Andrew Baird Optometrist,False
Andrew Bolton Opticians,False
Andrew Care Opticians,False
Andrew Keirl Opticians,False
Andrew Laird Optical Ltd,False
andrew riley optometry ltd,False
Andrew Savory Dental Laboratory Limited,False
Andrew Taylor South West Ltd,False
ANDREW TINKLER DENTAL LABORATORY,False
Andrew Willetts Opticians,False
Andy Dunlop dental laboratory,False
Andy Williams Dental Studio,False
Anetic Aid Ltd,False
Anetic Aid Ltd.,False
Aneurin Bevan University Health Board,False
Angel Med Ltd,False
Angelcare Corporate UK Ltd.,False
Angelini Pharma Inc.,False
Angelus Industria de Produtos Odontologicos S/A,False
Angiodroid SpA,True
"AngioDynamics, Inc.",False
"AngioDynamics, Inc.",False
Andon Health Co Ltd,False
"Andover Healthcare, Inc",False
OCULUS Optikgeraete GmbH,False
Oculus Technologies of MX S.A. de C.V.,False
Angle Correct Ltd,False
ANGLE Europe Limited,True
Anglia Dental Laboratory,False
Anglia Orthodontics,False
Anglia Ruskin University Optometry Clinic,False
Anglo European Trading (UK) Ltd,False
ANGO Industries,False
Angus MacNeil,False
Angus Optix Limited,False
Anholt Technologies Inc. dba Qfix dba CQ Medical,False
"ANHUI DEEPBLUE MEDICAL TECHNOLOGY CO.,LTD.",False
"Anhui Easyway Medical Supplies Co., Ltd",True
"Anhui Greenland Biotech Co., Ltd",False
"Anhui Intco Medical Products Co.,Ltd.",False
"Anhui JBH Medical Apparatus Co., Ltd.",True
"Anhui JN Medical Device Co., Ltd.",False
"ANHUI KAMT ICE PACK CO., LTD.",False
"Anhui Kangfu Industrial Foreign Trade Co., Ltd.",True
"Anhui Medsport Medical Products Co., Ltd.",True
"Anhui Nanfang Medical Products Co., Ltd",False
"ANHUI POWERGUARD TECHNOLOGY CO., LTD",True
"Anhui Tiankang Medical Technology Co.,Ltd",False
"AngioSystems, Inc",False
Angiplast Private Limited,True
Oculy Limited,False
Ocupeye Limited,False
"Anika Therapeutics, Inc.",False
Anita Dr. Helbig GmbH,False
"Anji Anshen Surgical Dressings Co., Ltd.",True
"Anji Hengfeng Sanitary Material Co., Ltd",True
Anji Hongde Medical Products Co. Ltd,False
Anji Yuandong Medical Products Co Ltd,False
"ANKON Technologies Co., Ltd.",True
"ANKON Technologies Co., Ltd.",True
Annalise-AI Pty Ltd,True
Annette I Dobbs,False
"Annex Medical inc, d.b.a. Sacred Heart Medical",False
"Anping Guardian Medical Equipment Co., Ltd",True
Anqing Baojie Packaging Co. Limited,False
"Anrei Medical (HZ) Co., Ltd.",True
Ansell Healthcare Europe N.V.,False
Antec International Limited,False
Anteis S.A.,False
Anteis S.A.,False
Anteris Aus Operations (Formally Admedus Regen Pty Ltd),False
Anthogyr,False
Ocura Healthcare Ltd,False
Anika Therapeutics S.R.L.,True
Anika Therapeutics SrL,False
Ocushield LTD,False
PosturePals Pty Ltd,True
ANTITOXIN GmbH,False
Anton Hubner GmbH & Co KG,False
ANTON MEYER & CO. LTD,False
Antoni Carles S.A.,True
Antwerp Dental Group Limited,False
ANYE Medical Apparatus Technology Co. Ltd,False
Anzacare Limited,False
ANZE Limited,False
"AOJ HEALTH Technology Co., Ltd.",True
AorticLab Srl,False
AOTI Ltd,True
APA Parafricta Ltd,True
Apacor Limited,False
ApaTech Ltd,False
APELEM SAS,False
Apex (Guangzhou) Tools & Orthopedics Co.,False
Apex (Guangzhou) Tools & Orthopedics Co.,False
Apex Biotechnology Corp.,True
Apex Dental Laboratory,False
Apex Denture Studio Ltd,False
"Apex Health Care Mfg.,Inc",False
ApiFix Ltd,False
Apis Assay Technologies Ltd.,False
"APK Technology Co., Ltd.",True
Anthony Spencer Dental Laboratory Ltd.,False
Anthropos Digital Care Ltd,False
OCuSOFT Inc,False
"Ocutech, Inc.",False
"Apollo Endosurgery, Inc.",True
Apollo Healthcare Technologies Ltd,False
APOLLO IMPLANT COMPONENTS UK LTD,False
Apollo Medical Technologies Ltd,False
Apollonia House Dental & Health Care Ltd,False
APOQLAR UK LTD,False
Apos Medical Assets Ltd,False
Apotec Ltd,False
"Apothecary Products, LLC",False
Appelman Charman Optical Limited,False
Apple Dental Ceramics,False
Apple Inc,True
Applied Biomedical Systems B.V.,False
Applied Medical Resources Corporation,True
"Applied Medical Technology, Inc.",True
Applied Science Inc.,False
Applied Spectral Imaging Ltd.,True
Applimed SA,False
APrevent Biotech GmbH,False
AprioMed AB,True
Apro Korea Inc.,False
APT Medical Inc.,True
APTACA S.p.A.,False
Apnea-Tech Ltd,False
"Apollo Biotech co., ltd.",False
OD-OS GmbH,True
Odin Medical Limited,False
Apyx Medical Corporation,False
AQLANE Medical BV,False
AQTIS Medical BV,False
Aqua Medikal tibbi araç ve gereçler inşaat sanayi diş ticaret limited şirketi,False
Aqualution Systems Ltd,False
AQUATOOLS HYGIENE LIMITED,False
Aquilant Limited,False
Ar Baltic Medical UAB,True
Arab Medical Equipment Company (AMECO),False
ARANZ Medical Limited,True
ARC Microtech Ltd,False
ARCADOPHTA SARL,False
Arch Dental Laboratory Ltd,False
Archform Byte Limited,False
ARCHITECH LABORATORY LTD,False
Archy Medical B.V.,True
Arcitic Heat Pty Ltd.,False
ARCO Limited,False
Arcoma AB,False
ArcRoyal uc,True
"ArcScan, Inc.",False
"Arctic Solutions, Inc.",False
"Arcus Medical, LLC",False
Aptos LLC,False
APX Ophthalmology Ltd,False
Odontech Ltd,False
Odstock Medical Ltd,False
Ardens-Q,False
"Area Dental Laboratory,",False
Arena (Eyewear) Limited,False
Ares Trading SA,False
"Aretech, LLC",True
AREX,True
Argentum Medical LLC,True
Argon Medical Devices Inc.,False
Arian Medical Ltd,False
Arineta Ltd.,False
Arion Manufacturing B.V.,True
Arion Slide Solutions B.V.,True
ArjoHuntleigh AB,True
"ARK Diagnostics, Inc.",True
"ARK Products, LLC",False
"ARKRAY Factory, Inc.",False
"Arlington Scientific, Inc",False
Armery Medical Technologies Inc.,False
Armitage & Barker LTD,False
Armour Plastics Ltd,False
Armstrong Medical Ltd,True
Arnold Dental & Implant Centre,False
Aroa Biosurgery Limited,True
Arran James Gavin,False
Arrow Dental,False
Arden Orthotics Ltd,False
Ardens Health Informatics Ltd,False
Oertli Instruments AG,False
OES Medical Ltd,False
ART MEDICAL Ltd.,True
Art Tech Dental Ceramics,False
Artera Inc,False
"Arteriocyte Medical Systems, Inc.",False
Arterys Inc.,False
ARTFX MEDICAL LLC,True
ARTHESYS,True
Arthrex Inc.,True
Arthro Therapeutics AB,False
ArthroCare Corporation,False
Articulab,False
Artinis Medical Systems B.V.,True
ArtiQ NV,True
Artisan Dental Studio,False
Artisan Dental Studio Bristol,False
"Artivion, Inc.",False
Artizan Ltd,False
ARTOSS,False
Artron Laboratories Inc.,True
Artrya Ltd,False
Artsana S.p.A.,True
Artsanity srl,False
"Arum Dentistry Co., Ltd.",True
arun dental laboratory,False
Arrow Orthodontics Limited,False
Art Dental Lab,False
OFF CARR S.r.l.,False
OFFHEALTH S.p.A.,True
"ASAHI Intecc Co, LTD",False
"Asahi Lite Optical Co., Ltd.",True
"Asahi Polyslider Company, Limited",False
"Asan Pharmaceutical Co., Ltd.",True
Asanus Medizintechnik GmbH,False
asap endoscopic products GmbH,True
